Company/Brand,HeadQuarter,Sector,Amount($),Funding Year
University Living,Delhi,Education,0,2018
&Me,Karnataka,Agriculture and Food Production,0,2018
Enakshi,Gujarat,Fashion and Beauty,116800,2018
Ultraviolette Automotive,Karnataka,Manufacturing,876,2018
Inthree Access,Tamil Nadu,"Career, Special Duties and Personal Development",4000000,2018
Bugworks Research India,Karnataka,Information Technology (IT),9000000,2018
Guardian.In,Maharashtra,Healthcare and Fitness,0,2018
Prestloans,Delhi,Banking and Financial Services,100000,2018
Wimoxez,Telangana,Information Technology (IT),20000,2018
India Accelerator,Haryana,Social Development,0,2018
Happyemi,Karnataka,E-Commerce and Retail,1000000,2018
Wishup,Delhi,Information Technology (IT),0,2018
Hansel.Io,Karnataka,Information Technology (IT),4000000,2018
Propelld,Karnataka,Education,250000,2018
Pivotroots,Maharashtra,Media and Entertainment,0,2018
Ziffyhomes,Delhi,E-Commerce and Retail,120000,2018
Carmesi,Haryana,Healthcare and Fitness,496400,2018
Ockypocky,Haryana,Education,0,2018
Racetrack,Karnataka,Information Technology (IT),4993200,2018
Whr,Maharashtra,Healthcare and Fitness,143145,2018
Asteria Aerospace,Karnataka,Transportation and Tourism,0,2018
Faballey,Uttar Pradesh,E-Commerce and Retail,8760000,2018
Tranzmeo,Kerala,Information Technology (IT),0,2018
Sbi Life,Maharashtra,Banking and Financial Services,742000000,2018
Studds Accessories,Haryana,E-Commerce and Retail,14600000,2018
Design Cafe,Karnataka,"Career, Special Duties and Personal Development",29200000,2018
Nopaperforms Solutions Pvt. Ltd.,Delhi,Education,3980000,2018
Rays Power Infra,Rajasthan,Energy,29200000,2018
Authmetrik,Haryana,E-Commerce and Retail,10000,2018
Khidki,Karnataka,Information Technology (IT),0,2018
Letstransport,Karnataka,Transportation and Tourism,14600000,2018
Next Digital Solutions,Rajasthan,Media and Entertainment,1460,2018
Portea Medical,Karnataka,Healthcare and Fitness,3650000,2018
Aavas Financiers,Rajasthan,Banking and Financial Services,29200000,2018
Swiggy,Karnataka,Agriculture and Food Production,1000000000,2018
Milkbasket,Haryana,E-Commerce and Retail,7000000,2018
Nutrisattva (Proliva),Gujarat,Healthcare and Fitness,0,2018
Toppr,Maharashtra,Education,35000000,2018
Jagaran Microfin,West Bengal,N/A,8030000,2018
Vivriti Capital,Tamil Nadu,Banking and Financial Services,28500000,2018
Be U Salons,Delhi,Information Technology (IT),438000,2018
Impact Guru,Maharashtra,"Career, Special Duties and Personal Development",2000000,2018
Mobikwik,Haryana,Banking and Financial Services,3504000,2018
Stones2Milestones,Haryana,Education,0,2018
Generico,Maharashtra,Healthcare and Fitness,0,2018
Adiuvo Diagnostics,Tamil Nadu,Healthcare and Fitness,0,2018
Datatrained,Karnataka,Education,1752000,2018
Oneassist,Maharashtra,Banking and Financial Services,2400000,2018
Satin Creditcare Network Limited (Scnl),Delhi,Banking and Financial Services,30000000,2018
Apac Financial Services,Maharashtra,Banking and Financial Services,36500000,2018
Moglix,Uttar Pradesh,E-Commerce and Retail,23000000,2018
Sedemac Mechatronics,Maharashtra,Manufacturing,0,2018
Madguy Labs,Telangana,Education,150000,2018
Dee Dee Labs,Maharashtra,Information Technology (IT),0,2018
Fleeca,Rajasthan,N/A,0,2018
Shop101,Maharashtra,Information Technology (IT),11000000,2018
Feedmypockets,Karnataka,Media and Entertainment,642400,2018
Housejoy,Karnataka,Fashion and Beauty,3240000,2018
Ambee,Karnataka,Healthcare and Fitness,0,2018
Foodbuddy,Karnataka,Agriculture and Food Production,876000,2018
Ninjacart,Karnataka,Agriculture and Food Production,36500000,2018
Olly Smart Credit Card,Delhi,Banking and Financial Services,0,2018
Zestl,Maharashtra,Information Technology (IT),0,2018
Byju’S,Karnataka,Education,540000000,2018
Wakefit,Karnataka,Manufacturing,9490000,2018
Hero Electric,Delhi,Manufacturing,23360000,2018
Pentation Analytics,Maharashtra,Information Technology (IT),0,2018
Perkfinance,Karnataka,Banking and Financial Services,900000,2018
Roposo,Haryana,Information Technology (IT),10000000,2018
Plum Goodness,Maharashtra,Fashion and Beauty,0,2018
Drstore,Maharashtra,Healthcare and Fitness,0,2018
Wow Venue,Maharashtra,Events and Hospitality,1500000,2018
Chizel,Maharashtra,Information Technology (IT),0,2018
Oto Capital,Maharashtra,Manufacturing,730000,2018
Boodmo,Haryana,Manufacturing,1022000,2018
Khabri,Haryana,Information Technology (IT),0,2018
Mynewcar.In,Haryana,Manufacturing,1000000,2018
Halaplay Technologies,Karnataka,Media and Entertainment,5000000,2018
Planetspark,Haryana,Education,233600,2018
Wheelsemi,Maharashtra,N/A,14000000,2018
Forum For Innovation Incubation Research And Entrepreneurship,Goa,Banking and Financial Services,1496500,2018
Oyo,Haryana,Events and Hospitality,100000000,2018
Quikr,Karnataka,Media and Entertainment,8030000,2018
Tabono,Haryana,Healthcare and Fitness,0,2018
Learnapp,Uttar Pradesh,Banking and Financial Services,292000,2018
Shopkirana,Madhya Pradesh,E-Commerce and Retail,2000000,2018
Fric Bergen,Rajasthan,N/A,0,2018
Articbot,Kerala,Information Technology (IT),17520,2018
Buildsupply,Haryana,Information Technology (IT),3650000,2018
Fusion Microfinance,Delhi,Banking and Financial Services,75920000,2018
Any Time Doctor,Tamil Nadu,Information Technology (IT),0,2018
Go Payments,Maharashtra,Information Technology (IT),0,2018
Guiddoo World,Maharashtra,Media and Entertainment,800000,2018
Ion Energy,Maharashtra,Energy,1041000,2018
Unotag,Karnataka,Information Technology (IT),100000,2018
Civilcops,Haryana,Social Development,100000,2018
Rockmetric,Maharashtra,Information Technology (IT),0,2018
Classworks India,Tamil Nadu,Education,1460,2018
Snapmint,Maharashtra,Banking and Financial Services,0,2018
Artbandhu,Karnataka,Media and Entertainment,15000,2018
Survaider,Karnataka,Information Technology (IT),500000,2018
Credy,Karnataka,Banking and Financial Services,1400000,2018
Ichamp,Haryana,Education,5000000,2018
Qandle,Haryana,Information Technology (IT),1200000,2018
Avishkaar Box,Delhi,"Career, Special Duties and Personal Development",730000,2018
Gegadyne Energy,Maharashtra,Manufacturing,0,2018
Hyperxchange,Maharashtra,E-Commerce and Retail,1000000,2018
Deftouch,Karnataka,N/A,0,2018
Doodhwala,Karnataka,Agriculture and Food Production,2200000,2018
Dronahq,Maharashtra,Information Technology (IT),500000,2018
Fastfox,Haryana,E-Commerce and Retail,1460000,2018
Buyforexonline,Karnataka,Transportation and Tourism,2000000,2018
Colive.In,Karnataka,E-Commerce and Retail,1800000,2018
Agricxlab Private Limited,Maharashtra,E-Commerce and Retail,500000,2018
Corefactors,Karnataka,N/A,0,2018
Fincash.Com,Maharashtra,Banking and Financial Services,150000,2018
Pandorum Technologies,Karnataka,Information Technology (IT),3600000,2018
Shirsa Labs,Maharashtra,Education,500000,2018
Petsutra,Haryana,Agriculture and Food Production,138700,2018
Awaaz De,Gujarat,Information Technology (IT),0,2018
Pinkblue,Karnataka,Healthcare and Fitness,300000,2018
Eduvanz,Maharashtra,Banking and Financial Services,500000,2018
Rupeek,Karnataka,Banking and Financial Services,6830000,2018
Backpacker Panda Holidays Private Limited,Maharashtra,Transportation and Tourism,1400000,2018
Shape (School Health And Physical Education),Maharashtra,Education,200000,2018
Placio,Uttar Pradesh,Events and Hospitality,2000000,2018
Aviom India Housing Finance,Delhi,Banking and Financial Services,2190000,2018
Genrobotic,Kerala,E-Commerce and Retail,0,2018
Heyholidays,Karnataka,Transportation and Tourism,1000000,2018
Pratilipi,Karnataka,Media and Entertainment,4300000,2018
Sectorqube,Kerala,Information Technology (IT),0,2018
Food Memories,Gujarat,Agriculture and Food Production,0,2018
Zamroo,N/A,Information Technology (IT),0,2018
Silversparro Technologies Pvt. Ltd,Haryana,Information Technology (IT),300000,2018
Creator’S Gurukul,Haryana,"Career, Special Duties and Personal Development",0,2018
Emflux Motors,Karnataka,Manufacturing,364846,2018
Tricog Health Services Pvt Ltd,Karnataka,Healthcare and Fitness,4000000,2018
Scapic,Karnataka,Information Technology (IT),500000,2018
6Degree,Maharashtra,Fashion and Beauty,400000,2018
Chrysalis (Ez Vidya),Tamil Nadu,Education,0,2018
Ekincare,Telangana,Healthcare and Fitness,1500000,2018
Streo,Haryana,Media and Entertainment,0,2018
Groww,Karnataka,Banking and Financial Services,120000,2018
Cell Propulsion,Karnataka,N/A,102200,2018
Chezuba,Telangana,Information Technology (IT),20440,2018
Ontrack Technologies Pvt. Ltd,Karnataka,E-Commerce and Retail,0,2018
Wealthtrust,Maharashtra,Banking and Financial Services,500000,2018
Faclon Labs,Maharashtra,Information Technology (IT),0,2018
Awign Enterprises,Karnataka,E-Commerce and Retail,730000,2018
Collpoll,Karnataka,Education,0,2018
Zyla Health,Delhi,Healthcare and Fitness,0,2018
Hubhopper,Delhi,Information Technology (IT),500000,2018
Rubix108 Technologies,Maharashtra,Information Technology (IT),1000000,2018
Workflexi,Karnataka,"Career, Special Duties and Personal Development",146000,2018
Streak,Karnataka,Banking and Financial Services,328500,2018
Kuants,Haryana,Banking and Financial Services,73000,2018
Niyo Solutions,Karnataka,Banking and Financial Services,13200000,2018
Hippo Video,Tamil Nadu,"Career, Special Duties and Personal Development",0,2018
Satvacart,Haryana,E-Commerce and Retail,0,2018
Daaki,Karnataka,Healthcare and Fitness,0,2018
Simulanis,Delhi,"Career, Special Duties and Personal Development",500000,2018
My Chiraag Cab,Rajasthan,Transportation and Tourism,1000000,2018
Wotu,Karnataka,Agriculture and Food Production,0,2018
Flathalt,Haryana,N/A,50000,2018
True Elements,Maharashtra,Healthcare and Fitness,730000,2018
Trendlyne Technologies,Karnataka,Banking and Financial Services,200000,2018
Planys Technologies,Tamil Nadu,Manufacturing,2046920,2018
Healthplix,Karnataka,Healthcare and Fitness,3000000,2018
Dishq,Karnataka,N/A,400000,2018
Entropik Technology,Karnataka,Information Technology (IT),1100000,2018
Myhq,Delhi,"Career, Special Duties and Personal Development",500000,2018
Trell,Karnataka,N/A,1250000,2018
Kidovators (By Gyanlab),Karnataka,Information Technology (IT),180000,2018
Log 9 Materials,Uttar Pradesh,Information Technology (IT),438000,2018
Vtion,Haryana,Information Technology (IT),280320,2018
Housingman.Com,Karnataka,N/A,1503800,2018
Steradian Semiconductors,Karnataka,N/A,0,2018
Rupeecircle,Maharashtra,Banking and Financial Services,584000,2018
Wooden Street,Rajasthan,E-Commerce and Retail,1000000,2018
The Ken,Karnataka,Media and Entertainment,1500000,2018
Saffronstays,Maharashtra,N/A,2000000,2018
Vebbler,Karnataka,Information Technology (IT),0,2018
Foyr,Maharashtra,"Career, Special Duties and Personal Development",4200000,2018
Mengage,Rajasthan,Healthcare and Fitness,175000,2018
Inner Being Wellness,Telangana,N/A,511000,2018
Kobster,Tamil Nadu,E-Commerce and Retail,0,2018
Wishberry,Maharashtra,Banking and Financial Services,1460000,2018
Mcxtra,Maharashtra,Banking and Financial Services,1300000,2018
Magic Crate,Karnataka,"Career, Special Duties and Personal Development",0,2018
Smartvizx,Uttar Pradesh,Information Technology (IT),1450000,2018
Myseodoc,Delhi,N/A,0,2018
Enlyft Digital Solutions Private Limited,Maharashtra,N/A,2920,2018
Scale Labs,Delhi,N/A,1000000,2018
Hungerbox,Karnataka,E-Commerce and Retail,4500000,2018
Biryani By Kilo,Uttar Pradesh,E-Commerce and Retail,1000000,2018
Wholesome Habits (Eat Anytime),Maharashtra,Agriculture and Food Production,500000,2018
Gobumpr,Tamil Nadu,Manufacturing,600000,2018
Fixpocket,Gujarat,Information Technology (IT),250000,2018
Edureka!,Karnataka,Information Technology (IT),2000000,2018
Hashtag Loyalty Private Limited,Maharashtra,Information Technology (IT),0,2018
Wow Express,Maharashtra,Transportation and Tourism,4500000,2018
Zunroof,Haryana,"Career, Special Duties and Personal Development",242360,2018
Eggoz,Madhya Pradesh,Agriculture and Food Production,175200,2018
Sqrrl Fintech,Haryana,Information Technology (IT),1000000,2018
Galaxycard,Uttar Pradesh,Banking and Financial Services,0,2018
Indiqube,Karnataka,E-Commerce and Retail,15000000,2018
Egk Foods,Maharashtra,Agriculture and Food Production,292000,2018
Nirogstreet,Haryana,Information Technology (IT),300000,2018
Pixr8,Uttar Pradesh,Media and Entertainment,50000,2018
Nivesh.Com,Uttar Pradesh,Banking and Financial Services,438000,2018
Theranosis Life Sciences,Telangana,Information Technology (IT),0,2018
Poshmiles Online Solutions Private Limited,Karnataka,Transportation and Tourism,0,2018
Reculta,Uttar Pradesh,Education,0,2018
Orbo.Ai,Maharashtra,Information Technology (IT),0,2018
Inntot Technologies,Kerala,Information Technology (IT),0,2018
Zoctr Health,Maharashtra,Information Technology (IT),0,2018
Hey Deedee,Maharashtra,Transportation and Tourism,481800,2018
Digiconnectt Technologys,Karnataka,Information Technology (IT),125000,2018
Locus.Sh,Karnataka,Information Technology (IT),4000000,2018
Sports Flashes Pvt. Ltd,Delhi,Healthcare and Fitness,1000000,2018
Inc42,Delhi,Media and Entertainment,0,2018
Picxy,Guntur,Information Technology (IT),130000,2018
Huddle,Haryana,"Career, Special Duties and Personal Development",300000,2018
Benepik,Haryana,"Career, Special Duties and Personal Development",0,2018
Cash Suvidha,Delhi,Banking and Financial Services,1000000,2018
Smartcoin,Karnataka,Information Technology (IT),2000000,2018
Carmel Organics,Madhya Pradesh,Agriculture and Food Production,0,2018
Roadcast,Delhi,N/A,250000,2018
Printline Media(Theprint),Delhi,Media and Entertainment,509540,2018
Creditas Solutions,Haryana,Banking and Financial Services,0,2018
Urbanpiper,Karnataka,Information Technology (IT),0,2018
Doxper,Maharashtra,Healthcare and Fitness,1051200,2018
I2Ifunding,Uttar Pradesh,Banking and Financial Services,730000,2018
Shakedeal,Karnataka,E-Commerce and Retail,0,2018
Helloverify,Uttar Pradesh,Information Technology (IT),0,2018
Fasal,Karnataka,Agriculture and Food Production,120000,2018
Coingeto,Delhi,Blockchain,1752000,2018
Avail Finance,Karnataka,Banking and Financial Services,17200000,2018
Tripeur,Karnataka,Information Technology (IT),600000,2018
Wedeterna,Karnataka,Events and Hospitality,0,2018
Stumagz,Telangana,Media and Entertainment,0,2018
Doubtnut,Haryana,Education,511000,2018
Mcaffeine,Maharashtra,E-Commerce and Retail,467200,2018
Trustcheckr,Karnataka,Information Technology (IT),100000,2018
Healthassure,Maharashtra,Healthcare and Fitness,1000000,2018
Picture Time,Delhi,Media and Entertainment,3650000,2018
1Crowd,Maharashtra,Banking and Financial Services,3500000,2018
Aarav Unmanned Systems,Karnataka,Transportation and Tourism,0,2018
Wellthy Therapeutics Pvt Ltd,Maharashtra,Healthcare and Fitness,1971000,2018
Nua,Maharashtra,E-Commerce and Retail,0,2018
Kuvera.In,Karnataka,Banking and Financial Services,250000,2018
Livehealth,Maharashtra,Healthcare and Fitness,1100000,2018
Gramophone,Madhya Pradesh,Agriculture and Food Production,1000000,2018
Ora,West Bengal,Transportation and Tourism,0,2018
Buddy4Study.Com,Uttar Pradesh,"Career, Special Duties and Personal Development",3000000,2018
Predible Health,Karnataka,Healthcare and Fitness,0,2018
Syncremedies Healthcare Pvt Ltd,Karnataka,Healthcare and Fitness,0,2018
Blueleaf Cyberspace Systems,Karnataka,Information Technology (IT),0,2018
Toffee,Haryana,N/A,1500000,2018
Oro Wealth,Maharashtra,N/A,1600000,2018
Healwell24,Maharashtra,Healthcare and Fitness,200000,2018
Acko General Insurance,Maharashtra,Banking and Financial Services,12000000,2018
Arzooo.Com,Karnataka,Information Technology (IT),219000,2018
Bonphul Air Products,Delhi,Information Technology (IT),292000,2018
Dheeyantra Research Labs,Karnataka,Information Technology (IT),0,2018
Edyoo,Karnataka,Education,1000000,2018
Chtrbox,Maharashtra,Media and Entertainment,146000,2018
Aashiyaan Housing And Development Finance,West Bengal,Banking and Financial Services,1971000,2018
Betterplace Safety Solutions Pvt. Ltd.,Karnataka,"Career, Special Duties and Personal Development",3000000,2018
Cashkumar,Karnataka,Banking and Financial Services,730000,2018
Rocketium,Karnataka,E-Commerce and Retail,292000,2018
Freightbazaar,Telangana,Transportation and Tourism,0,2018
Open,Karnataka,Banking and Financial Services,0,2018
Mfine,Karnataka,Healthcare and Fitness,4200000,2018
Earth Food,Maharashtra,Agriculture and Food Production,934400,2018
Charcoal Eats,Maharashtra,Agriculture and Food Production,730000,2018
Wishfie,Karnataka,Information Technology (IT),0,2018
The Social Hook,Karnataka,E-Commerce and Retail,0,2018
Freightbro,Maharashtra,Information Technology (IT),0,2018
Finwego,Tamil Nadu,N/A,0,2018
Cricnwin,Haryana,Media and Entertainment,0,2018
Wicked Ride Adventure Services Private Limited,Karnataka,Manufacturing,10000000,2018
Career Anna,Karnataka,E-Commerce and Retail,584000,2018
Eruditus Executive Education,Maharashtra,Education,40000000,2018
Gaia Smart Cities,Maharashtra,Information Technology (IT),0,2018
Square Off,Maharashtra,Information Technology (IT),1100000,2018
Urbanclap,Delhi,Information Technology (IT),50000000,2018
Hospals,Delhi,Healthcare and Fitness,1500000,2018
Kogta Financial India Limited,Rajasthan,Banking and Financial Services,22484000,2018
Perspectico,Delhi,"Career, Special Duties and Personal Development",0,2018
The Souled Store,Maharashtra,Fashion and Beauty,3000000,2018
Hush - Speak Up. Make Work Better,Karnataka,Social Development,657000,2018
Drivezy,Karnataka,Manufacturing,100000000,2018
Freyr Energy,Telangana,Energy,1500000,2018
Niramai Health Analytix,Karnataka,Healthcare and Fitness,6000000,2018
Cloudsek,Karnataka,Information Technology (IT),2044000,2018
Lendbox,Delhi,Banking and Financial Services,876000,2018
Verloop,Karnataka,"Career, Special Duties and Personal Development",3000000,2018
Flickstree,Maharashtra,Media and Entertainment,0,2018
Paymatrix,Telangana,Banking and Financial Services,100000,2018
Idha Skin Clinic,Karnataka,Fashion and Beauty,73000,2018
Incred,Maharashtra,Banking and Financial Services,41900000,2018
Vedantu,Karnataka,Education,11000000,2018
Sportido,Uttar Pradesh,Media and Entertainment,0,2018
Stelis Biopharma,Karnataka,Healthcare and Fitness,100000000,2018
Magicpin,Haryana,E-Commerce and Retail,20586000,2018
Try & Buy,Delhi,E-Commerce and Retail,0,2018
Mech Mocha,Karnataka,Media and Entertainment,3530000,2018
Aye Finance,Haryana,Banking and Financial Services,1051200,2018
Aldopay,Tamil Nadu,Banking and Financial Services,200000,2018
Detect Technologies,Tamil Nadu,Information Technology (IT),3300000,2018
Signzy,Karnataka,Information Technology (IT),3504000,2018
Cashrich,Maharashtra,Information Technology (IT),1000000,2018
Cloudnine Hospitals,Karnataka,Healthcare and Fitness,0,2018
Cropin Technologies,Karnataka,Agriculture and Food Production,8468000,2018
Billdesk,Gujarat,Banking and Financial Services,0,2018
Yaantra,Delhi,Information Technology (IT),2000000,2018
Techbooze,Delhi,Education,100000,2018
Healthifyme,Karnataka,Information Technology (IT),6000000,2018
Hoi Foods,Haryana,Agriculture and Food Production,525600,2018
Perpule,Karnataka,Information Technology (IT),4964000,2018
Royal Sundaram General Insurance Co. Limited,Tamil Nadu,Healthcare and Fitness,210000000,2018
Cleansecar,Karnataka,Manufacturing,511000,2018
Driveu,Karnataka,E-Commerce and Retail,1022000,2018
Spinny,Haryana,E-Commerce and Retail,11000000,2018
Asset Reconstruction Company (India) Ltd.,Maharashtra,Banking and Financial Services,0,2018
Med365 Healthcare,Rajasthan,Healthcare and Fitness,730000,2018
Dunzo,Karnataka,"Career, Special Duties and Personal Development",1022000,2018
Mobile Premier League (Mpl),Karnataka,Media and Entertainment,5000000,2018
Walmart India,Haryana,E-Commerce and Retail,37680000,2018
Cred,Karnataka,N/A,0,2018
Meesho,Karnataka,E-Commerce and Retail,50000000,2018
Bhaskarguru,Madhya Pradesh,Information Technology (IT),1000000,2018
Gugu,Tamil Nadu,Manufacturing,250000,2018
Farmtaaza,Karnataka,Agriculture and Food Production,0,2018
Vizzbee,Madhya Pradesh,Information Technology (IT),20000,2018
Bigphi Technologies Pvt. Ltd.,Karnataka,Fashion and Beauty,900000,2018
Mobycy,Haryana,Healthcare and Fitness,0,2018
Traveo Soft Pvt. Ltd.,Karnataka,Information Technology (IT),17520,2018
Em Personal Care,Maharashtra,Fashion and Beauty,0,2018
Lucideus,Delhi,"Career, Special Duties and Personal Development",5000000,2018
Eupheus Learning,Delhi,Education,0,2018
Gamingmonk,Delhi,Healthcare and Fitness,584000,2018
Sukkhi Jewellery,Maharashtra,Fashion and Beauty,7446000,2018
Indwealth,Haryana,Banking and Financial Services,32120000,2018
Medikabazaar,Maharashtra,E-Commerce and Retail,5000000,2018
Nira,Karnataka,Banking and Financial Services,1000000,2018
Duroflex Pvt. Ltd.,Kerala,E-Commerce and Retail,22000000,2018
Clensta,Delhi,Information Technology (IT),0,2018
Jetbrain Robotics,Haryana,Healthcare and Fitness,70000,2018
Medimetry,Haryana,Healthcare and Fitness,0,2018
Healthkart,Haryana,E-Commerce and Retail,10000000,2018
Indiabulls Ventures,Maharashtra,Banking and Financial Services,224723200,2018
Vistara,Haryana,Transportation and Tourism,292000000,2018
Cleartax,Delhi,Banking and Financial Services,58400000,2018
Shuttl,Haryana,Information Technology (IT),1000000,2018
Guruq,Delhi,Media and Entertainment,365000,2018
Azure Power,Delhi,Energy,185000000,2018
Cube,Maharashtra,Banking and Financial Services,2044000,2018
Rahi Care,Chandigarh,Healthcare and Fitness,0,2018
Mynvax,Karnataka,Information Technology (IT),0,2018
Loans4Sme,Maharashtra,Banking and Financial Services,0,2018
Upcyclerslab,Maharashtra,Information Technology (IT),0,2018
Cellerite Systems,Telangana,Manufacturing,0,2018
Taru Naturals,Maharashtra,Agriculture and Food Production,0,2018
Letsmd,Delhi,Healthcare and Fitness,1000000,2018
Twenty Two Motors,Haryana,Manufacturing,65000000,2018
Truebil,Maharashtra,Manufacturing,2000000,2018
Farmersfz,Kerala,Agriculture and Food Production,0,2018
Worxogo,Karnataka,Information Technology (IT),2409000,2018
Vivish Technologies (Mygate),Karnataka,Information Technology (IT),9490000,2018
Singularity Dynamics,Karnataka,Information Technology (IT),0,2018
Virtual Metalstreet(Metalstreet),Karnataka,E-Commerce and Retail,700000,2018
Veritas Finance,Tamil Nadu,Banking and Financial Services,30000000,2018
Manjushree Technopack,Karnataka,Manufacturing,0,2018
Gozefo,Karnataka,Information Technology (IT),3066000,2018
Zomato,Haryana,Agriculture and Food Production,210000000,2018
Innov8 Coworking,Delhi,"Career, Special Duties and Personal Development",4000000,2018
Revfin,Delhi,Banking and Financial Services,0,2018
Lavelle Networks,Karnataka,Information Technology (IT),292000,2018
Blackbuck,Karnataka,Information Technology (IT),29632160,2018
Cardekho,Haryana,Manufacturing,75000000,2018
Elasticrun,Maharashtra,Transportation and Tourism,8760000,2018
Droom Technology Private Limited,Haryana,Manufacturing,30000000,2018
Vogo Rentals,Karnataka,Transportation and Tourism,1168000,2018
Innerchef,Haryana,Agriculture and Food Production,1760000,2018
Livquik,Maharashtra,Banking and Financial Services,2700000,2018
Disprz,Tamil Nadu,Education,400000,2018
9Stacks,Delhi,Media and Entertainment,4088000,2018
Origo,Haryana,N/A,11680000,2018
Yourownroom,Karnataka,Information Technology (IT),750000,2018
Vahdam Teas,Delhi,E-Commerce and Retail,2500000,2018
Spoofin,Delhi,Media and Entertainment,0,2018
Strom Motors,Maharashtra,Manufacturing,0,2018
Pharmeasy,Maharashtra,Healthcare and Fitness,80000000,2018
Licious,Karnataka,Transportation and Tourism,25000000,2018
Stanza Living,Delhi,Events and Hospitality,10658000,2018
Docturnal,Telangana,Information Technology (IT),0,2018
Bounce (Metro Bikes),Karnataka,Manufacturing,3000000,2018
Technology 9 Labs (T9L),Delhi,Information Technology (IT),0,2018
Goals101,Delhi,Banking and Financial Services,3500000,2018
Satya Microcapital,Delhi,Banking and Financial Services,5840000,2018
Ummeed Housing Finance Private Limited,Haryana,Banking and Financial Services,8760000,2018
Stockedge,West Bengal,Information Technology (IT),1100000,2018
Sequretek,Maharashtra,N/A,3700000,2018
